自增ID,款式编码,商品编码,商品名称,颜色及规格,颜色,规格,基本售价,市场吊牌价,分类,商品属性,创建时间,季节,面料成份
1,SPU000,SPU000-黑色-XXXL,家居服春季款,黑色 加长,黑色,加长,193.0,324.0,内衣,XXXL,2025-02-27 18:27:46,春季,涤纶
2,SPU000,SPU000-黑色-XS,家居服春季款,黑色 加长,黑色,加长,274.0,793.0,内衣,XS,2024-03-18 02:08:36,春季,麻
3,SPU000,SPU000-黑色-S,家居服春季款,黑色 修身,黑色,修身,254.0,521.0,内衣,S,2024-10-23 07:38:23,春季,羊毛
4,SPU000,SPU000-黑色-XXXL,家居服春季款,黑色 宽松,黑色,宽松,309.0,300.0,内衣,XXXL,2025-06-27 15:03:26,春季,混纺
5,SPU000,SPU000-黑色-XS,家居服春季款,黑色 加长,黑色,加长,178.0,689.0,内衣,XS,2025-04-24 08:55:42,春季,麻
6,SPU001,SPU001-紫色-XS,套头卫衣热卖款,紫色 标准,紫色,标准,340.0,149.0,男装,XS,2024-05-05 13:05:30,冬季,棉
7,SPU001,SPU001-紫色-XXXL,套头卫衣热卖款,紫色 标准,紫色,标准,174.0,628.0,男装,XXXL,2025-04-22 05:30:35,冬季,麻
8,SPU001,SPU001-紫色-S,套头卫衣热卖款,紫色 短款,紫色,短款,399.0,446.0,男装,S,2025-05-24 03:23:48,冬季,棉
9,SPU002,SPU002-灰色-均码,运动长裤夏季款,灰色 加长,灰色,加长,432.0,777.0,运动,均码,2023-11-30 08:16:19,秋季,棉
10,SPU002,SPU002-灰色-XXL,运动长裤夏季款,灰色 短款,灰色,短款,96.0,257.0,运动,XXL,2024-11-27 16:07:14,秋季,棉
11,SPU002,SPU002-灰色-M,运动长裤夏季款,灰色 修身,灰色,修身,497.0,703.0,运动,M,2025-05-19 19:06:43,秋季,混纺
12,SPU002,SPU002-灰色-XXXL,运动长裤夏季款,灰色 宽松,灰色,宽松,127.0,234.0,运动,XXXL,2024-01-11 12:11:01,秋季,丝
13,SPU003,SPU003-红色-XS,家居服新款,红色 标准,红色,标准,447.0,130.0,内衣,XS,2024-05-29 15:43:19,夏季,棉
14,SPU003,SPU003-红色-XL,家居服新款,红色 修身,红色,修身,169.0,582.0,内衣,XL,2025-08-16 08:06:10,夏季,麻
15,SPU003,SPU003-红色-XL,家居服新款,红色 宽松,红色,宽松,466.0,508.0,内衣,XL,2025-10-05 10:03:58,夏季,棉
16,SPU003,SPU003-红色-M,家居服新款,红色 标准,红色,标准,438.0,627.0,内衣,M,2023-11-22 01:17:09,夏季,麻
17,SPU003,SPU003-红色-均码,家居服新款,红色 修身,红色,修身,285.0,268.0,内衣,均码,2024-03-01 20:10:03,夏季,麻
18,SPU004,SPU004-绿色-XL,童装套装新款,绿色 标准,绿色,标准,398.0,438.0,童装,XL,2024-05-18 13:29:03,夏季,棉
19,SPU004,SPU004-绿色-XL,童装套装新款,绿色 标准,绿色,标准,370.0,347.0,童装,XL,2024-05-26 06:51:04,夏季,涤纶
20,SPU004,SPU004-绿色-L,童装套装新款,绿色 修身,绿色,修身,84.0,446.0,童装,L,2023-11-21 09:40:13,夏季,涤纶
21,SPU004,SPU004-绿色-XS,童装套装新款,绿色 宽松,绿色,宽松,261.0,370.0,童装,XS,2023-11-19 03:56:49,夏季,麻
22,SPU004,SPU004-绿色-S,童装套装新款,绿色 标准,绿色,标准,144.0,513.0,童装,S,2024-02-16 19:59:15,夏季,羊毛
23,SPU005,SPU005-粉色-XL,条纹衬衫秋冬款,粉色 加长,粉色,加长,345.0,693.0,男装,XL,2023-12-22 02:19:00,夏季,棉
24,SPU005,SPU005-粉色-M,条纹衬衫秋冬款,粉色 宽松,粉色,宽松,463.0,370.0,男装,M,2025-05-19 03:12:03,夏季,麻
25,SPU005,SPU005-粉色-L,条纹衬衫秋冬款,粉色 加长,粉色,加长,135.0,294.0,男装,L,2024-08-22 11:38:20,夏季,涤纶
26,SPU005,SPU005-粉色-XL,条纹衬衫秋冬款,粉色 短款,粉色,短款,342.0,203.0,男装,XL,2025-04-11 05:43:24,夏季,棉
27,SPU005,SPU005-粉色-S,条纹衬衫秋冬款,粉色 宽松,粉色,宽松,57.0,423.0,男装,S,2024-12-06 14:18:32,夏季,丝
28,SPU006,SPU006-绿色-均码,训练外套夏季款,绿色 标准,绿色,标准,170.0,749.0,运动,均码,2024-12-16 15:47:24,春季,棉
29,SPU006,SPU006-绿色-XXL,训练外套夏季款,绿色 加长,绿色,加长,145.0,378.0,运动,XXL,2025-05-03 19:36:58,春季,麻
30,SPU006,SPU006-绿色-XXL,训练外套夏季款,绿色 修身,绿色,修身,249.0,359.0,运动,XXL,2024-03-05 19:16:01,春季,棉
31,SPU007,SPU007-米色-XXXL,羽绒服新款,米色 宽松,米色,宽松,182.0,382.0,女装,XXXL,2024-10-12 18:31:42,秋季,羊毛
32,SPU007,SPU007-米色-XL,羽绒服新款,米色 短款,米色,短款,323.0,463.0,女装,XL,2024-09-29 16:28:13,秋季,棉
33,SPU007,SPU007-米色-XS,羽绒服新款,米色 宽松,米色,宽松,482.0,254.0,女装,XS,2024-09-28 16:57:21,秋季,棉
34,SPU007,SPU007-米色-XS,羽绒服新款,米色 短款,米色,短款,170.0,146.0,女装,XS,2025-10-22 07:27:12,秋季,棉
35,SPU007,SPU007-米色-XL,羽绒服新款,米色 宽松,米色,宽松,447.0,590.0,女装,XL,2024-08-09 15:19:01,秋季,麻
36,SPU008,SPU008-米色-S,开衫春季款,米色 宽松,米色,宽松,380.0,716.0,女装,S,2024-06-04 00:27:26,夏季,丝
37,SPU008,SPU008-米色-均码,开衫春季款,米色 宽松,米色,宽松,127.0,243.0,女装,均码,2025-01-28 13:44:25,夏季,混纺
38,SPU008,SPU008-米色-XL,开衫春季款,米色 短款,米色,短款,180.0,102.0,女装,XL,2023-12-23 16:19:05,夏季,涤纶
39,SPU008,SPU008-米色-均码,开衫春季款,米色 标准,米色,标准,434.0,582.0,女装,均码,2024-04-19 08:56:52,夏季,涤纶
40,SPU009,SPU009-橙色-S,开衫热卖款,橙色 宽松,橙色,宽松,134.0,730.0,女装,S,2025-06-24 02:05:19,秋冬,涤纶
41,SPU009,SPU009-橙色-XS,开衫热卖款,橙色 加长,橙色,加长,243.0,115.0,女装,XS,2024-06-13 18:25:37,秋冬,丝
42,SPU009,SPU009-橙色-S,开衫热卖款,橙色 宽松,橙色,宽松,356.0,697.0,女装,S,2024-12-12 18:35:48,秋冬,羊毛
43,SPU009,SPU009-橙色-XXL,开衫热卖款,橙色 加长,橙色,加长,312.0,442.0,女装,XXL,2025-10-12 04:16:14,秋冬,涤纶
44,SPU010,SPU010-黑色-XS,套头卫衣秋冬款,黑色 修身,黑色,修身,305.0,793.0,女装,XS,2025-01-10 16:22:08,夏季,涤纶
45,SPU010,SPU010-黑色-M,套头卫衣秋冬款,黑色 宽松,黑色,宽松,399.0,170.0,女装,M,2023-12-20 07:47:05,夏季,混纺
46,SPU010,SPU010-黑色-XXL,套头卫衣秋冬款,黑色 加长,黑色,加长,271.0,346.0,女装,XXL,2024-05-27 17:45:31,夏季,羊毛
47,SPU010,SPU010-黑色-XL,套头卫衣秋冬款,黑色 加长,黑色,加长,164.0,421.0,女装,XL,2024-07-28 16:26:57,夏季,丝
48,SPU011,SPU011-棕色-XXL,运动T恤春季款,棕色 短款,棕色,短款,399.0,700.0,运动,XXL,2024-09-29 19:05:43,秋冬,羊毛
49,SPU011,SPU011-棕色-均码,运动T恤春季款,棕色 修身,棕色,修身,171.0,464.0,运动,均码,2025-09-05 13:14:48,秋冬,混纺
50,SPU011,SPU011-棕色-XS,运动T恤春季款,棕色 宽松,棕色,宽松,490.0,699.0,运动,XS,2025-10-18 12:03:01,秋冬,混纺
51,SPU011,SPU011-棕色-M,运动T恤春季款,棕色 标准,棕色,标准,274.0,271.0,运动,M,2025-10-21 16:45:05,秋冬,混纺
52,SPU012,SPU012-米色-XXL,条纹衬衫夏季款,米色 宽松,米色,宽松,385.0,236.0,男装,XXL,2025-02-03 03:40:23,冬季,麻
53,SPU012,SPU012-米色-S,条纹衬衫夏季款,米色 标准,米色,标准,445.0,575.0,男装,S,2024-10-06 10:12:50,冬季,麻
54,SPU012,SPU012-米色-M,条纹衬衫夏季款,米色 标准,米色,标准,460.0,344.0,男装,M,2025-08-03 10:21:13,冬季,丝
55,SPU012,SPU012-米色-XXXL,条纹衬衫夏季款,米色 短款,米色,短款,238.0,796.0,男装,XXXL,2025-07-03 07:01:54,冬季,丝
56,SPU012,SPU012-米色-L,条纹衬衫夏季款,米色 修身,米色,修身,311.0,591.0,男装,L,2025-05-11 07:29:23,冬季,羊毛
57,SPU013,SPU013-米色-均码,套头卫衣新款,米色 短款,米色,短款,486.0,655.0,运动,均码,2024-11-02 06:11:03,春季,丝
58,SPU013,SPU013-米色-S,套头卫衣新款,米色 修身,米色,修身,275.0,580.0,运动,S,2025-07-31 10:22:44,春季,麻
59,SPU013,SPU013-米色-M,套头卫衣新款,米色 短款,米色,短款,485.0,537.0,运动,M,2025-01-17 02:32:41,春季,混纺
